"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.834421870E-1,1.778125763E-1,-1.889791191E-1,9.819866180E0,9.823293858E0
8.884062500E-1,1.637346596E-1,-2.125093341E-1,9.779892921E0,9.783571680E0
8.933687500E-1,1.321695149E-1,-2.367482483E-1,9.813018799E0,9.816764052E0
8.983328120E-1,1.226597428E-1,-2.115708143E-1,9.808565140E0,9.811613411E0
9.032953120E-1,1.087829545E-1,-2.034784108E-1,9.786529541E0,9.789249085E0
9.082593750E-1,1.195472777E-1,-2.288760990E-1,9.843990326E0,9.847376369E0
9.132218750E-1,1.494460702E-1,-2.452907562E-1,9.767547607E0,9.771769950E0
9.181843750E-1,1.538705528E-1,-2.346796542E-1,9.748231888E0,9.752270281E0
9.231484370E-1,1.270650774E-1,-1.791820526E-1,9.790839195E0,9.793303012E0
9.281109370E-1,1.138586551E-1,-1.967363507E-1,9.804533005E0,9.807167605E0
9.330750000E-1,1.389690340E-1,-1.618767679E-1,9.832143784E0,9.834458188E0
9.380375000E-1,1.258679777E-1,-2.399085909E-1,9.808603287E0,9.812344130E0
9.430000000E-1,1.232918054E-1,-2.133616805E-1,9.782258034E0,9.785361328E0
9.479640620E-1,1.465442926E-1,-1.872169971E-1,9.809063911E0,9.811944774E0
9.529265620E-1,1.178809106E-1,-1.947539300E-1,9.775515556E0,9.778165952E0
9.578906250E-1,1.570979506E-1,-2.059013546E-1,9.782421112E0,9.785848862E0
9.628531250E-1,1.266819984E-1,-2.355032563E-1,9.866294861E0,9.869918155E0
9.678171870E-1,1.226597428E-1,-2.146641165E-1,9.771493912E0,9.774621188E0
9.727796870E-1,1.364024729E-1,-2.371983528E-1,9.789794922E0,9.793617989E0
9.777421870E-1,1.469943970E-1,-2.473401874E-1,9.843587875E0,9.847791975E0
9.827062500E-1,1.026537940E-1,-2.798343003E-1,9.776368141E0,9.780910953E0
9.876687500E-1,1.264234185E-1,-2.036316395E-1,9.834873199E0,9.837793430E0
9.926328120E-1,1.271129549E-1,-2.308776528E-1,9.857474327E0,9.860997024E0
9.975953120E-1,1.265766472E-1,-2.458653599E-1,9.782584190E0,9.786491959E0
1.002557812E0,1.737328470E-1,-1.981249899E-1,9.785437584E0,9.788984897E0
1.007521875E0,1.307808757E-1,-2.330324352E-1,9.808718681E0,9.812358021E0
1.012485937E0,1.343530267E-1,-2.378208488E-1,9.726922989E0,9.730757438E0
1.017448437E0,1.358278543E-1,-2.256104052E-1,9.775497437E0,9.779043889E0
1.022410937E0,1.495609879E-1,-2.180830389E-1,9.795176506E0,9.798745404E0
1.027375000E0,1.537843645E-1,-2.175467312E-1,9.807531357E0,9.811149144E0
1.032337500E0,1.398884058E-1,-1.797279418E-1,9.808575630E0,9.811219435E0
1.037300000E0,1.442841589E-1,-2.239344716E-1,9.731289864E0,9.734935386E0
1.042264062E0,1.430008858E-1,-2.470050007E-1,9.786989212E0,9.791150012E0
1.047228125E0,1.822466254E-1,-2.269799113E-1,9.807511330E0,9.811830216E0
1.052190625E0,1.475498676E-1,-2.658808827E-1,9.844698906E0,9.849393898E0
1.057153125E0,1.319683939E-1,-1.826009899E-1,9.817979813E0,9.820564463E0
1.062117187E0,1.419282854E-1,-1.983356625E-1,9.781348228E0,9.784388271E0
1.067079687E0,1.469561011E-1,-2.328696251E-1,9.805510521E0,9.809376175E0
1.072042187E0,1.133127734E-1,-1.912105232E-1,9.799515724E0,9.802035997E0
1.077006250E0,1.372835189E-1,-1.640411168E-1,9.838158607E0,9.840483781E0
1.081968750E0,1.441788375E-1,-2.063610405E-1,9.808182716E0,9.811412774E0
1.086931250E0,1.388253868E-1,-2.415079176E-1,9.771953583E0,9.775923250E0
1.091895312E0,1.429817230E-1,-1.930013895E-1,9.774567604E0,9.777518354E0
1.096859375E0,1.355118155E-1,-1.966309994E-1,9.812904358E0,9.815809653E0
1.101821875E0,1.328111589E-1,-1.959414631E-1,9.812904358E0,9.815758952E0
1.106784375E0,1.391510069E-1,-2.177287042E-1,9.804409027E0,9.807813475E0
1.111748437E0,1.575959325E-1,-2.284451425E-1,9.821619034E0,9.825539380E0
1.116710937E0,1.347935498E-1,-2.434998900E-1,9.806142807E0,9.810091653E0
1.121673437E0,1.503558606E-1,-1.914595217E-1,9.792657852E0,9.795683307E0
1.126637500E0,1.149121001E-1,-1.829648912E-1,9.807368279E0,9.809747881E0
1.131601562E0,1.020408794E-1,-2.129307240E-1,9.842697144E0,9.845528878E0
1.136564062E0,9.928275645E-2,-2.597900331E-1,9.815298080E0,9.819237462E0
1.141526562E0,1.332899928E-1,-2.128157914E-1,9.817423820E0,9.820634768E0
1.146490625E0,1.536502838E-1,-2.343827635E-1,9.820019722E0,9.824018069E0
1.151453125E0,1.506048590E-1,-2.176520824E-1,9.781903267E0,9.785483421E0
1.156417187E0,1.402140409E-1,-1.966309994E-1,9.760480881E0,9.763468172E0
1.161379687E0,1.185321361E-1,-2.193088681E-1,9.851449966E0,9.854603629E0
1.166342187E0,1.608520448E-1,-1.762323976E-1,9.802139282E0,9.805042873E0
1.171306250E0,1.216541752E-1,-1.990251988E-1,9.783024788E0,9.785805269E0
1.176268750E0,1.520605385E-1,-1.919670850E-1,9.797848701E0,9.800908782E0
1.181232812E0,1.603349000E-1,-2.208124399E-1,9.788474083E0,9.792277074E0
1.186195312E0,1.114261448E-1,-2.090521157E-1,9.810615540E0,9.813475217E0
1.191159375E0,1.429913044E-1,-2.202952951E-1,9.810432434E0,9.813947273E0
1.196121875E0,1.227555051E-1,-2.094639093E-1,9.763832092E0,9.766850115E0
1.201084375E0,1.320737451E-1,-2.518604398E-1,9.797858238E0,9.801984657E0
1.206048437E0,1.184746772E-1,-1.977227479E-1,9.786337852E0,9.789052002E0
1.211010937E0,1.354064792E-1,-1.568585187E-1,9.793146133E0,9.795338213E0
1.215975000E0,1.371398717E-1,-2.183033079E-1,9.787870407E0,9.791265025E0
1.220937500E0,1.379155815E-1,-2.152578831E-1,9.804716110E0,9.808048464E0
1.225901562E0,1.543110758E-1,-1.878777891E-1,9.778896332E0,9.781918188E0
1.230864062E0,1.394670457E-1,-1.963628531E-1,9.779807091E0,9.782772417E0
1.235826562E0,1.722197086E-1,-2.428869754E-1,9.827959061E0,9.832468307E0
1.240789062E0,1.446959674E-1,-2.790298462E-1,9.803355217E0,9.808392737E0
1.245753125E0,1.554315835E-1,-2.382518053E-1,9.839431763E0,9.843543077E0
1.250717187E0,1.194802374E-1,-2.188970745E-1,9.813573837E0,9.816741971E0
1.255679687E0,1.261169612E-1,-2.126721442E-1,9.820890427E0,9.824002428E0
1.260642187E0,1.124700159E-1,-1.941314489E-1,9.776981354E0,9.779555251E0
1.265606250E0,1.251784414E-1,-2.446203828E-1,9.791911125E0,9.795766037E0
1.270568750E0,1.599326730E-1,-2.309447080E-1,9.771828651E0,9.775865645E0
1.275532812E0,1.584674269E-1,-1.608328968E-1,9.789536476E0,9.792139887E0
1.280495312E0,1.532384753E-1,-2.279758900E-1,9.850156784E0,9.853986184E0
1.285459375E0,1.105642319E-1,-2.056331933E-1,9.822251320E0,9.825025723E0
1.290421875E0,1.627865583E-1,-1.570979506E-1,9.788664818E0,9.791278678E0
