"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.474059375E0	4.855440930E-3	-9.540415555E-2	9.807330132E0	9.807795361E0
1.479021875E0	-3.763685003E-3	-9.389101714E-2	9.914963722E0	9.915408983E0
1.483985938E0	-1.618480310E-2	-9.932105988E-2	9.822968483E0	9.823483926E0
1.488948438E0	-3.629609570E-2	-6.962338090E-2	9.970807076E0	9.971116214E0
1.493912500E0	-1.220085099E-2	-2.467943169E-2	9.813641548E0	9.813680164E0
1.498875000E0	3.282929212E-2	-1.190205514E-1	9.761351585E0	9.762132371E0
1.503839063E0	9.576806406E-6	-1.265670806E-1	9.957005501E0	9.957809888E0
1.508801563E0	1.908657700E-2	-1.313267499E-1	9.781865120E0	9.782765265E0
1.513764063E0	-8.437166922E-3	1.934514963E-3	1.005367374E1	1.005367747E1
1.518728125E0	-5.292143300E-2	-1.858858019E-2	9.711121559E0	9.711283548E0
1.523690625E0	-5.665638670E-2	-5.363969505E-2	9.889728546E0	9.890036293E0
